"player_id","FirstName","Surname","PositionsList","Team","Cost","TotalPoints"
"Benteke_Christian_FWD","Christian","Benteke","FWD","CRY",5500000,106
"Bernardo Silva_NAMELESS_MID","NAMELESS","Bernardo Silva","MID","MCI",7400000,94
"Bertrand_Ryan_DEF","Ryan","Bertrand","DEF","SOU",5e+06,78
"Bissouma_Yves_MID","Yves","Bissouma","MID","BHA",4400000,77
"Boly_Willy_DEF","Willy","Boly","DEF","WOL",5400000,68
"Bowen_Jarrod_MID","Jarrod","Bowen","MID","WHU",5800000,141
"Brownhill_Josh_MID","Josh","Brownhill","MID","BUR",4900000,74
"Burn_Dan_DEF","Dan","Burn","DEF","BHA",4200000,64
"Cahill_Gary_DEF","Gary","Cahill","DEF","CRY",4500000,53
"Calvert-Lewin_Dominic_FWD","Dominic","Calvert-Lewin","FWD","EVE",7500000,165
"Cancelo_Joao Pedro Cavaco_DEF","Joao Pedro Cavaco","Cancelo","DEF","MCI",5800000,138
"Cash_Matthew_DEF","Matthew","Cash","DEF","AVL",5e+06,89
"Castagne_Timothy_DEF","Timothy","Castagne","DEF","LEI",5800000,94
"Cavaleiro_NAMELESS_MID","NAMELESS","Cavaleiro","MID","FUL",5300000,85
"Chilwell_Benjamin_DEF","Benjamin","Chilwell","DEF","CHE",5900000,139
"Clark_Ciaran_DEF","Ciaran","Clark","DEF","NEW",4500000,46
"Coady_Conor_DEF","Conor","Coady","DEF","WOL",4900000,106
"Cooper_Liam_DEF","Liam","Cooper","DEF","LEE",4300000,59
"Coufal_Vladimir_DEF","Vladimir","Coufal","DEF","WHU",4800000,128
"Cresswell_Aaron_DEF","Aaron","Cresswell","DEF","WHU",5700000,153
"Dallas_Stuart_DEF","Stuart","Dallas","DEF","LEE",5500000,171
"Dawson_Craig_DEF","Craig","Dawson","DEF","WHU",4500000,75
"De Bruyne_Kevin_MID","Kevin","De Bruyne","MID","MCI",11800000,141
"Decordova-Reid_Bobby_FWD","Bobby","Decordova-Reid","FWD","FUL",5300000,88
"Dendoncker_Leander_MID","Leander","Dendoncker","MID","WOL",4600000,77
"Dias_NAMELESS_DEF","NAMELESS","Dias","DEF","MCI",5900000,142
"Dier_Eric_DEF","Eric","Dier","DEF","TOT",4600000,77
"Digne_Lucas_DEF","Lucas","Digne","DEF","EVE",6200000,120
"Doucoure_Abdoulaye_MID","Abdoulaye","Doucoure","MID","EVE",5100000,80
"Douglas Luiz_NAMELESS_MID","NAMELESS","Douglas Luiz","MID","AVL",4800000,72
"Dunk_Lewis_DEF","Lewis","Dunk","DEF","BHA",4800000,130
"Egan_John_DEF","John","Egan","DEF","SHU",4700000,57
"Evans_Jonny_DEF","Jonny","Evans","DEF","LEI",5600000,109
"Eze_Eberechi_MID","Eberechi","Eze","MID","CRY",5800000,125
